view,coverage,abstain_rate,attack_rate,mean_prob_attack,accuracy_on_covered,attack_precision,benign_precision
rate_view,0.48637717962265015,0.5134099721908569,0.24568873643875122,0.47207435965538025,0.6888402700424194,0.7738301753997803,0.6021220088005066
entropy_view,0.4071945548057556,0.5925925970077515,0.00021290185395628214,0.4041787385940552,0.8761107921600342,1.0,0.8760460019111633
port_view,0.4976585805416107,0.502128541469574,0.22588886320590973,0.5074763298034668,0.9345594644546509,0.9868049025535583,0.8911511301994324
latency_view,0.36888036131858826,0.6309067606925964,0.17947626113891602,0.45921480655670166,0.6705135703086853,0.7532621622085571,0.5921348333358765
physics_view,0.3099191188812256,0.6898680329322815,0.1703214794397354,0.5036271810531616,0.5865384340286255,0.7124999761581421,0.43292683362960815
aggregate,0.45530012249946594,0.5444869995117188,0.15712156891822815,0.47381067276000977,0.8784478902816772,0.9972899556159973,0.8158458471298218
