view,coverage,abstain_rate,attack_rate,mean_prob_attack,accuracy_on_covered,attack_precision,benign_precision
rate_view,0.4675368070602417,0.532295823097229,0.21456067264080048,0.46961599588394165,0.6610594391822815,0.7418096661567688,0.5925925970077515
entropy_view,0.40829986333847046,0.591532826423645,0.0,0.39947906136512756,0.8758196830749512,0.0,0.8758196830749512
port_view,0.3686412274837494,0.6311914324760437,0.33405858278274536,0.5620020627975464,0.9868361353874207,0.9864729642868042,0.990338146686554
latency_view,0.3637884855270386,0.6360442042350769,0.1633472740650177,0.464599072933197,0.6251149773597717,0.6854507923126221,0.5759599208831787
physics_view,0.3222891688346863,0.6775435209274292,0.15430963039398193,0.49422094225883484,0.5514018535614014,0.698481559753418,0.4163346588611603
aggregate,0.40679383277893066,0.59303879737854,0.17891213297843933,0.4618249833583832,0.7914438247680664,0.9120673537254333,0.6967694759368896
