setting,method,method_label,n,ece,brier,aurc
main,noisy_ce,Noisy-CE,24850,0.1557228305618048,0.13287094235420227,0.080353744328022
main,cdro_fixed,CDRO-Fixed,24850,0.12609963008095798,0.14088855683803558,0.11013665795326233
main,cdro_ug,CDRO-UG (sw0),24850,0.15305219569916215,0.1355510652065277,0.08025923371315002
batch2,noisy_ce,Noisy-CE,11862,0.12509561079905843,0.12141475081443787,0.07091612368822098
batch2,cdro_fixed,CDRO-Fixed,11862,0.18803639305387113,0.1562635600566864,0.10883861035108566
batch2,cdro_ug,CDRO-UG (sw0),11862,0.15044955181466996,0.13369011878967285,0.10130882263183594
