dataset,budget,effective_budget_mean,effective_budget_std,method,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
main,0.05,0.050276954565806026,4.5626079355265414e-05,noisy_ce,6,0.9096835363687555,0.022212344632624247,0.23133179368745188,0.09011286392320574,0.1719627765317758,0.09357445657578609
main,0.05,0.050276954565806026,4.5626079355265414e-05,cdro_fixed,6,0.8984690275356553,0.019403193230582504,0.24018475750577367,0.10561454526310199,0.2508477419614792,0.03634412051603573
main,0.05,0.050276954565806026,4.5626079355265414e-05,cdro_ug,6,0.9039909404175129,0.023939749757296666,0.23210161662817552,0.06289151896646883,0.22627544278899828,0.07106512929505913
main,0.1,0.09990085922009254,9.91407799074695e-05,noisy_ce,6,0.8887987513430045,0.01731902815802862,0.2602001539645882,0.07733177025265676,0.17542761688431105,0.09374647369384193
main,0.1,0.09990085922009254,9.91407799074695e-05,cdro_fixed,6,0.9052830933675268,0.02239078232143665,0.2063125481139338,0.07562310509772324,0.22547023991743723,0.05334691790795657
main,0.1,0.09990085922009254,9.91407799074695e-05,cdro_ug,6,0.8889477469200969,0.02376265812786968,0.2590454195535027,0.08711338302731929,0.19028650596737862,0.08419061061211987
main,0.2,0.20013218770654329,0.00013218770654328804,noisy_ce,6,0.9082904136258423,0.012082087330802937,0.1966897613548884,0.05732597027872289,0.16680662830670676,0.09569417681786435
main,0.2,0.20013218770654329,0.00013218770654328804,cdro_fixed,6,0.8772220041905473,0.029633081242514396,0.2956120092378753,0.11241523840660084,0.16801091035207114,0.03026051977756358
main,0.2,0.20013218770654329,0.00013218770654328804,cdro_ug,6,0.8964659913972842,0.022934653632495288,0.2270977675134719,0.10085855757200346,0.18419655288259187,0.07848304591793413
main,0.3,0.3000330469266358,3.304692663583242e-05,noisy_ce,6,0.8994045695315422,0.020543914417203428,0.2267128560431101,0.08742914758220183,0.1935682309170564,0.0932094318547065
main,0.3,0.3000330469266358,3.304692663583242e-05,cdro_fixed,6,0.8968318382480873,0.016812952856175976,0.22902232486528099,0.06908383521083997,0.15943666795889536,0.03151331534969957
main,0.3,0.3000330469266358,3.304692663583242e-05,cdro_ug,6,0.8844763027447516,0.020537653888934176,0.27251732101616627,0.08872689474502793,0.20815537869930267,0.0761145752326945
main,0.5,0.5001652346331791,0.00016523463317913434,noisy_ce,6,0.891171804961251,0.007024618087631291,0.25635103926096997,0.041847507082145914,0.1756955881913503,0.07722286776066567
main,0.5,0.5001652346331791,0.00016523463317913434,cdro_fixed,6,0.885410830879255,0.03363603962732527,0.26289453425712084,0.13003230124410214,0.17509009192387262,0.039068893135986126
main,0.5,0.5001652346331791,0.00016523463317913434,cdro_ug,6,0.8860677442686082,0.014325033140218383,0.26674364896073904,0.07254024046590742,0.20344385877251625,0.07208530858618806
main,1.0,1.0,0.0,noisy_ce,6,0.8932204133591484,0.014586083360400756,0.25827559661277905,0.06828138544630241,0.17048902809619904,0.06007036638524972
main,1.0,1.0,0.0,cdro_fixed,6,0.8768290447621085,0.03082374947552852,0.2936874518860662,0.12371955226472046,0.19541524598995844,0.06826427728917613
main,1.0,1.0,0.0,cdro_ug,6,0.8878171154046963,0.017655559964458004,0.26982294072363355,0.08577655176118548,0.19611446435252824,0.07626959929743352
external_j,0.05,0.05028866305508324,4.942860532247337e-05,noisy_ce,6,0.907960824244086,0.015343309750871408,0.20268972142170988,0.01804831337949658,0.17437372108300528,0.06558767264549065
external_j,0.05,0.05028866305508324,4.942860532247337e-05,cdro_fixed,6,0.9155647294264019,0.030401976525921474,0.1637848222862632,0.08911093827019109,0.23886135717233023,0.06729614555866056
