setting,comparison,scope,protocol,metric,delta_mean,p_value,significant_005
batch2,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,fpr,-0.047070124879923146,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,ece,0.000925372044245402,1.0,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_topology_ood,brier,0.024722278118133545,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,f1,-0.001265624031723811,1.0,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,fpr,0.0019212295869356355,1.0,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,ece,-0.023289203643798828,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,weak_attack_strategy_ood,brier,-0.006148068855206172,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,f1,0.0009379805310818131,0.7777777777777778,0
batch2,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,fpr,-0.03138815207780724,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,ece,-0.007778430978457133,0.3333333333333333,0
batch2,cdro_ug vs noisy_ce,per_protocol,label_prior_shift_ood,brier,0.0010925854245821636,0.5555555555555556,0
batch2,cdro_ug vs cdro_fixed,pooled,pooled,f1,-0.0028015829244714316,0.5816451061752502,0
batch2,cdro_ug vs cdro_fixed,pooled,pooled,fpr,-0.0109324078816278,0.6084940200146448,0
batch2,cdro_ug vs cdro_fixed,pooled,pooled,ece,-0.039933317030469574,0.07053941908713693,0
batch2,cdro_ug vs cdro_fixed,pooled,pooled,brier,-0.02401002279172341,0.003173053453746644,1
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,f1,0.0049660834731690695,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,fpr,-0.012487992315081659,1.0,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,ece,0.029335970679918926,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_temporal_ood,brier,-0.012395734588305155,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_topology_ood,f1,-0.0081852684219443,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_topology_ood,fpr,-0.04514889529298751,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_topology_ood,ece,-0.07038532694180806,0.3333333333333333,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_topology_ood,brier,-0.018916745980580647,0.5555555555555556,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_attack_strategy_ood,f1,-0.003918819154120031,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_attack_strategy_ood,fpr,0.01921229586935638,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_attack_strategy_ood,ece,-0.08600895355145137,0.3333333333333333,0
batch2,cdro_ug vs cdro_fixed,per_protocol,weak_attack_strategy_ood,brier,-0.04363612706462542,0.3333333333333333,0
batch2,cdro_ug vs cdro_fixed,per_protocol,label_prior_shift_ood,f1,-0.004068327594990466,0.7777777777777778,0
batch2,cdro_ug vs cdro_fixed,per_protocol,label_prior_shift_ood,fpr,-0.005305039787798412,1.0,0
batch2,cdro_ug vs cdro_fixed,per_protocol,label_prior_shift_ood,ece,-0.0326749583085378,0.5555555555555556,0
batch2,cdro_ug vs cdro_fixed,per_protocol,label_prior_shift_ood,brier,-0.021091483533382416,0.3333333333333333,0
