setting,stress_kind,protocol,stress_level,method,n,covered_ratio_after_mean,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
main,noise,weak_attack_strategy_ood,0.0,cdro_ug,3,1.0,0.8843323021232848,0.00789011114142507,0.3010007698229407,0.023248142987746735,0.22072924921909967,0.0879321875960167
main,noise,weak_attack_strategy_ood,0.0,noisy_ce,3,1.0,0.886084844415305,0.01736285438349564,0.2963818321785989,0.05082580705232969,0.16730848451455435,0.07113833456777369
main,noise,weak_attack_strategy_ood,0.0,posterior_ce,3,1.0,0.8456630925063332,0.014280864331511144,0.42032332563510394,0.04636226304823263,0.22214137762784958,0.09041642341900215
main,noise,weak_attack_strategy_ood,0.15,cdro_ug,3,1.0,0.8676252973019778,0.006201593373369388,0.3510392609699769,0.01890381702510957,0.21636050939559937,0.10643674478766806
main,noise,weak_attack_strategy_ood,0.15,noisy_ce,3,1.0,0.8954161687173458,0.0012291157428464402,0.2686682063125481,0.0035277718975795583,0.2244445408384005,0.0893362488302916
main,noise,weak_attack_strategy_ood,0.15,posterior_ce,3,1.0,0.8469569332397278,0.030898911619214358,0.418013856812933,0.09735445223260042,0.243872861067454,0.07916442031541766
main,noise,weak_attack_strategy_ood,0.3,cdro_ug,3,1.0,0.8556248266875554,0.023896683539205255,0.38953040800615857,0.07506069751962134,0.2691901574532191,0.06152440523212101
main,noise,weak_attack_strategy_ood,0.3,noisy_ce,3,1.0,0.8962400815177458,0.02942423867814152,0.2663587374903772,0.08770915437396347,0.25691861907641095,0.08500198380021658
main,noise,weak_attack_strategy_ood,0.3,posterior_ce,3,1.0,0.8034770586387681,0.039465168090785215,0.567359507313318,0.14489654752616052,0.336188147465388,0.02029937414145696
main,noise,weak_attack_strategy_ood,0.45,cdro_ug,3,1.0,0.7752381483616301,0.08523406103230854,0.6897613548883756,0.3121145507982978,0.31240106622378033,0.08490305047894631
main,noise,weak_attack_strategy_ood,0.45,noisy_ce,3,1.0,0.8450276534323959,0.0670788705035287,0.42032332563510394,0.20001920020484643,0.3180633634328842,0.07668713909659479
main,noise,weak_attack_strategy_ood,0.45,posterior_ce,3,1.0,0.8229982684587491,0.10837691260171578,0.4942263279445728,0.4404490675008356,0.2128590246041616,0.13261480346968638
main,noise,weak_topology_ood,0.0,cdro_ug,3,1.0,0.8913019286861077,0.02892180437546683,0.2386451116243264,0.13644120807770085,0.17149967948595682,0.08888994776390274
main,noise,weak_topology_ood,0.0,noisy_ce,3,1.0,0.9003559823029919,0.01356627209627522,0.2201693610469592,0.08394953582888738,0.17366957167784372,0.07572540218099663
main,noise,weak_topology_ood,0.0,posterior_ce,3,1.0,0.8975766036639576,0.010308152755915255,0.17551963048498845,0.05065060554148108,0.19374770919481912,0.06899974313737424
main,noise,weak_topology_ood,0.15,cdro_ug,3,1.0,0.8952925011566377,0.02274508311897504,0.2086220169361047,0.09750043837231075,0.17924917240937552,0.08891692362297549
main,noise,weak_topology_ood,0.15,noisy_ce,3,1.0,0.9024975757027592,0.019369649779659916,0.18860662047729024,0.08546074879986401,0.1884154329697291,0.06663270710480891
main,noise,weak_topology_ood,0.15,posterior_ce,3,1.0,0.8964979374516397,0.001692498461816603,0.19399538106235567,0.024331763863401235,0.24742498993873596,0.024080332452864225
main,noise,weak_topology_ood,0.3,cdro_ug,3,1.0,0.9052637986848673,0.00782020796639405,0.15550423402617397,0.04359536608088612,0.22061012188593546,0.06842708266276738
main,noise,weak_topology_ood,0.3,noisy_ce,3,1.0,0.9050794548513562,0.012735889408254293,0.18244803695150116,0.048498845265588904,0.20600542922814688,0.08916268796865201
main,noise,weak_topology_ood,0.3,posterior_ce,3,1.0,0.9012424075563513,0.009199767138371246,0.1739799846035412,0.03609968926156537,0.27340055008729297,0.04663371717575073
main,noise,weak_topology_ood,0.45,cdro_ug,3,1.0,0.8940000536642432,0.016795479470716766,0.18244803695150116,0.060576799300711325,0.28348612288633984,0.07435934274928632
main,noise,weak_topology_ood,0.45,noisy_ce,3,1.0,0.8985439878238857,0.0197064339125926,0.20554272517321015,0.028000821369473766,0.3142602741718292,0.011852758744738928
main,noise,weak_topology_ood,0.45,posterior_ce,3,1.0,0.8946048578582074,0.03847257248018365,0.1624326404926867,0.17060915982713895,0.2685711880524953,0.11886431449145415
batch2,noise,weak_attack_strategy_ood,0.0,cdro_ug,3,1.0,0.9139664261178987,0.003914267262845703,0.19692603266090297,0.011646835401519836,0.14998083313306174,0.09653871993223523
batch2,noise,weak_attack_strategy_ood,0.0,noisy_ce,3,1.0,0.9152320501496225,0.009297285173774221,0.19500480307396734,0.023293670803039644,0.17327003677686056,0.07256525794477775
batch2,noise,weak_attack_strategy_ood,0.0,posterior_ce,3,1.0,0.9170803119032638,0.007986846424680175,0.18251681075888568,0.032391383861839325,0.1823161393404007,0.06968910716418307
batch2,noise,weak_attack_strategy_ood,0.15,cdro_ug,3,1.0,0.9115683110386267,0.006348255367111838,0.20076849183477424,0.021820973470894418,0.17898298799991608,0.06791477987731219
batch2,noise,weak_attack_strategy_ood,0.15,noisy_ce,3,1.0,0.9170167744501645,0.0011584993249588139,0.18924111431316043,0.003327667257577088,0.20404950777689615,0.11075340849532667
batch2,noise,weak_attack_strategy_ood,0.15,posterior_ce,3,1.0,0.8999630616421137,0.03247073179694852,0.22478386167146974,0.10020368098394068,0.27794284125169116,0.03291579699386969
