setting,protocol,protocol_label,method,method_label,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std
main,temporal_ood,Hard temporal OOD,noisy_ce,Noisy-CE,3,0.02144286833858385,0.004870737406902954,0.08803418803418804,0.029718527608057627,0.42928492029507953,0.1426845633037387,0.4171994129816691,0.1395619633416129
main,temporal_ood,Hard temporal OOD,cdro_fixed,CDRO-Fixed,3,0.027217354389981865,0.01712660362144166,0.11794871794871796,0.06937307312035222,0.47574923435846966,0.10956869156132754,0.45491963624954224,0.10480914738926597
main,temporal_ood,Hard temporal OOD,cdro_ug,CDRO-UG (sw0),3,0.016594907123843247,0.003758739146275316,0.0829059829059829,0.017072636201229213,0.42211467027664185,0.13155374750629606,0.406718244155248,0.12704547775124586
main,topology_ood,Hard topology OOD,noisy_ce,Noisy-CE,3,0.018253628124251655,0.0032772279925454713,0.13706407137064072,0.010129761554579725,0.4397643705209096,0.1205688785622911,0.4296942154566447,0.10819215833509616
main,topology_ood,Hard topology OOD,cdro_fixed,CDRO-Fixed,3,0.015926924773805255,0.0067259252139438815,0.16950527169505272,0.040299296833105736,0.4731929798920949,0.05346213204642496,0.4534890254338582,0.05011884724713888
main,topology_ood,Hard topology OOD,cdro_ug,CDRO-UG (sw0),3,0.017347545617952875,0.002436553756060775,0.12895377128953772,0.0469277409294061,0.4255803128083547,0.09774666008471815,0.4091220796108246,0.09815660822022299
main,attack_strategy_ood,Hard attack-strategy OOD,noisy_ce,Noisy-CE,3,0.01484597455151504,0.0002845165692492203,0.15085158150851583,0.025402205617787228,0.42203665773073834,0.07947447742311434,0.4055530031522115,0.05793958516336145
main,attack_strategy_ood,Hard attack-strategy OOD,cdro_fixed,CDRO-Fixed,3,0.01462366985859589,0.0004019488655364424,0.1711273317112733,0.036523374693260995,0.4069987138112386,0.04919222717492016,0.40455328424771625,0.035448599246702614
main,attack_strategy_ood,Hard attack-strategy OOD,cdro_ug,CDRO-UG (sw0),3,0.014789035761652303,0.00018800265199365142,0.15571776155717762,0.01685694216612047,0.41369280219078064,0.06530936362039444,0.3993169565995534,0.05235107514863607
main,congestion_ood,Hard congestion OOD,noisy_ce,Noisy-CE,3,0.13279485573228864,0.042349948915818135,0.23890063424947144,0.019376641416303773,0.47081809242566425,0.1268502405873522,0.4552989900112152,0.11704968925623656
main,congestion_ood,Hard congestion OOD,cdro_fixed,CDRO-Fixed,3,0.14003169855679548,0.07957092986137015,0.2769556025369979,0.04802459489048858,0.47264374295870465,0.10936072891645564,0.4507550199826558,0.10306831899090274
main,congestion_ood,Hard congestion OOD,cdro_ug,CDRO-UG (sw0),3,0.14656954525615068,0.055463610789303834,0.2748414376321353,0.03254715500706268,0.4863019684950511,0.12505480427663018,0.4648764530817668,0.11709231497525045
main,pooled,Pooled hard suite,noisy_ce,Noisy-CE,12,0.04683433168665979,0.05500270737018837,0.153712618790704,0.05998568026109175,0.44047601024309796,0.1039077502385865,0.42693640540043515,0.09561937895410638
main,pooled,Pooled hard suite,cdro_fixed,CDRO-Fixed,12,0.04944991189479462,0.06498147959286354,0.18388423097301046,0.07403423380091743,0.45714616775512695,0.07894867877132346,0.44092924147844315,0.07139695824154345
main,pooled,Pooled hard suite,cdro_ug,CDRO-UG (sw0),12,0.04882525843989978,0.06354581796664899,0.1606047383462084,0.07863187076675258,0.43692243844270706,0.0970038582088022,0.4200084333618482,0.09178150516487903
batch2,temporal_ood,Hard temporal OOD,noisy_ce,Noisy-CE,3,0.02768813471608688,0.0033285417663692974,0.2505050505050505,0.061905266448664904,0.5264800190925598,0.1171550897470265,0.4821338355541229,0.1251825788862591
batch2,temporal_ood,Hard temporal OOD,cdro_fixed,CDRO-Fixed,3,0.026620372481117198,0.0005029107986334473,0.3282828282828283,0.03837054527923754,0.5533646941184998,0.030754576490210867,0.5002466936906179,0.0454272580920041
batch2,temporal_ood,Hard temporal OOD,cdro_ug,CDRO-UG (sw0),3,0.026670022049848495,0.0015267257293341972,0.2494949494949495,0.08053615864758644,0.5277840197086334,0.07532625898939252,0.49540001153945923,0.07541901407940688
batch2,topology_ood,Hard topology OOD,noisy_ce,Noisy-CE,3,0.006414575370297836,9.261929323150845e-05,0.15353535353535352,0.027328786380744822,0.5269412994384766,0.1317683515695033,0.493248184521993,0.14190168563026773
