probe,setting,metric,full_model_value,ablated_variant,ablated_value,delta_vs_full,p_value
non_uniform_group_prioritization,primary_batch_pooled,F1,0.8661,Uniform,0.8620,-0.0041,0.0149
class_asymmetric_benign_trust,external_j_pooled,FPR,0.2259,b=0.35,0.2377,+0.0119,0.0007
