method,label,n_runs,tuned_f1_mean,tuned_f1_std,tuned_fpr_mean,tuned_fpr_std,tuned_detect_rate_mean,tuned_detect_rate_std,tuned_delay_mean,tuned_delay_std,frozen_f1_mean,frozen_f1_std,frozen_fpr_mean,frozen_fpr_std,frozen_detect_rate_mean,frozen_detect_rate_std,frozen_delay_mean,frozen_delay_std,frozen_fp_mean,frozen_fp_std,frozen_benign_per10k_mean,frozen_benign_per10k_std,frozen_benign_ip_flag_rate_mean,frozen_benign_ip_flag_rate_std
noisy_ce,Noisy-CE,12,0.8875553012739794,0.02949808599402628,0.26951041770181194,0.08047577370380116,1.0,0.0,0.05655694879832811,0.0756361566008804,0.8737197787119156,0.02980294235210921,0.16759001623107753,0.08858669291251768,0.9899425287356322,0.017175946894752096,0.583832753251991,0.7252748717264563,63.416666666666664,27.321181703889927,1675.9001623107754,885.8669291251767,0.9035087719298246,0.27008428628667813
cdro_fixed,CDRO-Fixed,12,0.8880494161052963,0.03019695176511115,0.23681288650731164,0.07318870365933276,1.0,0.0,0.09639498432601881,0.09541954808665476,0.8265821414221493,0.08665287524939531,0.23864971194296444,0.2738058374694613,0.9870689655172413,0.024521140826272752,0.6382968989290828,1.2175971485016874,120.41666666666667,204.32881625339866,2386.4971194296445,2738.0583746946127,0.805921052631579,0.35551227310513595
cdro_ug,CDRO-UG(sw0),12,0.8852478331808249,0.026116973653688837,0.22588047862568383,0.05203253552116056,1.0,0.0,0.09743991640543365,0.09727248282327548,0.8599663871326235,0.05256999746316069,0.0958197331172587,0.06889250166458794,0.978448275862069,0.02663424054540192,0.8756530825496343,1.0806831093026155,36.083333333333336,25.328598042289645,958.197331172587,688.9250166458794,0.7149122807017544,0.43659030809305927
