setting,method,method_label,n,auroc,auprc,fpr_at_95_recall,recall_at_1_fpr,recall_at_5_fpr,recall_at_10_fpr
main,noisy_ce,Noisy-CE,24850,0.9142782092094421,0.9380589127540588,0.608761727809906,0.32996708154678345,0.7632638216018677,0.8458836674690247
main,cdro_fixed,CDRO-Fixed,24850,0.8956384062767029,0.9216787815093994,0.5962449908256531,0.3182583153247833,0.7109403610229492,0.7992681860923767
main,cdro_ug,CDRO-UG (sw0),24850,0.9084105491638184,0.9246869087219238,0.6186857223510742,0.2517380118370056,0.7279912233352661,0.8411269783973694
batch2,noisy_ce,Noisy-CE,11862,0.917446494102478,0.9444898962974548,0.6024141311645508,0.5573567748069763,0.7369152307510376,0.8181256651878357
batch2,cdro_fixed,CDRO-Fixed,11862,0.9024782180786133,0.9186283946037292,0.6954503059387207,0.211363285779953,0.6873552799224854,0.8071638345718384
batch2,cdro_ug,CDRO-UG (sw0),11862,0.9033991694450378,0.9252421259880066,0.6921076774597168,0.23097112774848938,0.7421646118164062,0.8178169131278992
